Frame Time(ps) RMSD(A)
0.000000000000000000e+00 0.000000000000000000e+00 1.973079261763735825e+00
1.000000000000000000e+00 1.000000000000000021e-02 1.751328063601712337e+00
2.000000000000000000e+00 2.000000000000000042e-02 1.627027260697557765e+00
3.000000000000000000e+00 2.999999999999999889e-02 1.841350377590321719e+00
4.000000000000000000e+00 4.000000000000000083e-02 1.990107951834299449e+00
5.000000000000000000e+00 5.000000000000000278e-02 1.853175558415448343e+00
6.000000000000000000e+00 5.999999999999999778e-02 1.688633671214807785e+00
7.000000000000000000e+00 7.000000000000000666e-02 2.044715694712816223e+00
8.000000000000000000e+00 8.000000000000000167e-02 1.804026692494987261e+00
9.000000000000000000e+00 8.999999999999999667e-02 1.922146673418052787e+00
1.000000000000000000e+01 1.000000000000000056e-01 1.914092160481182248e+00
1.100000000000000000e+01 1.100000000000000006e-01 1.531099630258595523e+00
1.200000000000000000e+01 1.199999999999999956e-01 2.123221701506424530e+00
1.300000000000000000e+01 1.300000000000000044e-01 2.040191719853000851e+00
1.400000000000000000e+01 1.400000000000000133e-01 1.709951494077937673e+00
1.500000000000000000e+01 1.499999999999999944e-01 1.729054911289200192e+00
1.600000000000000000e+01 1.600000000000000033e-01 1.766412016188836587e+00
1.700000000000000000e+01 1.700000000000000122e-01 1.587993610128398014e+00
1.800000000000000000e+01 1.799999999999999933e-01 1.926153956671342371e+00
1.900000000000000000e+01 1.900000000000000022e-01 1.718636360990718925e+00
2.000000000000000000e+01 2.000000000000000111e-01 1.872772989342331496e+00
2.100000000000000000e+01 2.099999999999999922e-01 1.759603028293387661e+00
2.200000000000000000e+01 2.200000000000000011e-01 1.438976382238220664e+00
2.300000000000000000e+01 2.300000000000000100e-01 1.882878617472586003e+00
2.400000000000000000e+01 2.399999999999999911e-01 1.837990552813680623e+00
2.500000000000000000e+01 2.500000000000000000e-01 1.740430033550572020e+00
2.600000000000000000e+01 2.600000000000000089e-01 1.661314302576957003e+00
2.700000000000000000e+01 2.700000000000000178e-01 1.724631117465177388e+00
2.800000000000000000e+01 2.800000000000000266e-01 1.838870276104830115e+00
2.900000000000000000e+01 2.899999999999999800e-01 1.737906514930179780e+00
3.000000000000000000e+01 2.999999999999999889e-01 1.724357596511087998e+00
3.100000000000000000e+01 3.099999999999999978e-01 1.725307620540202702e+00
3.200000000000000000e+01 3.200000000000000067e-01 1.717981097967800963e+00
3.300000000000000000e+01 3.300000000000000155e-01 2.104419099937232307e+00
3.400000000000000000e+01 3.400000000000000244e-01 1.793850035501758144e+00
3.500000000000000000e+01 3.500000000000000333e-01 1.791654971868998469e+00
3.600000000000000000e+01 3.599999999999999867e-01 2.006945494667001562e+00
3.700000000000000000e+01 3.699999999999999956e-01 1.711240302686908077e+00
3.800000000000000000e+01 3.800000000000000044e-01 1.707164625756266485e+00
3.900000000000000000e+01 3.900000000000000133e-01 1.906728648270067827e+00
4.000000000000000000e+01 4.000000000000000222e-01 1.590440649776354132e+00
4.100000000000000000e+01 4.100000000000000311e-01 1.840071839245372098e+00
4.200000000000000000e+01 4.199999999999999845e-01 1.808692775793737439e+00
4.300000000000000000e+01 4.299999999999999933e-01 2.129506736485469620e+00
4.400000000000000000e+01 4.400000000000000022e-01 1.826221204131439624e+00
4.500000000000000000e+01 4.500000000000000111e-01 1.719222838183457114e+00
4.600000000000000000e+01 4.600000000000000200e-01 1.661429062113374044e+00
4.700000000000000000e+01 4.700000000000000289e-01 1.764256716725857155e+00
4.800000000000000000e+01 4.799999999999999822e-01 1.664169740028282662e+00
4.900000000000000000e+01 4.899999999999999911e-01 1.904302453325086297e+00
5.000000000000000000e+01 5.000000000000000000e-01 2.267109593367069742e+00
5.100000000000000000e+01 5.100000000000000089e-01 2.102877795350985402e+00
5.200000000000000000e+01 5.200000000000000178e-01 1.878065826693083418e+00
5.300000000000000000e+01 5.300000000000000266e-01 1.853603501100226980e+00
5.400000000000000000e+01 5.400000000000000355e-01 1.913918951042797634e+00
5.500000000000000000e+01 5.500000000000000444e-01 1.966020099638184249e+00
5.600000000000000000e+01 5.600000000000000533e-01 1.746665491460262176e+00
5.700000000000000000e+01 5.700000000000000622e-01 2.015234542095194925e+00
5.800000000000000000e+01 5.799999999999999600e-01 2.074655329161335882e+00
5.900000000000000000e+01 5.899999999999999689e-01 1.938579251041990803e+00
6.000000000000000000e+01 5.999999999999999778e-01 1.931583413040942387e+00
6.100000000000000000e+01 6.099999999999999867e-01 2.030038642611574407e+00
6.200000000000000000e+01 6.199999999999999956e-01 1.783694773444876702e+00
6.300000000000000000e+01 6.300000000000000044e-01 2.015728528951441501e+00
6.400000000000000000e+01 6.400000000000000133e-01 1.685844651502547586e+00
6.500000000000000000e+01 6.500000000000000222e-01 1.772369685446279153e+00
6.600000000000000000e+01 6.600000000000000311e-01 1.941023223773593820e+00
6.700000000000000000e+01 6.700000000000000400e-01 1.563140292887409410e+00
6.800000000000000000e+01 6.800000000000000488e-01 1.922772133920108262e+00
6.900000000000000000e+01 6.900000000000000577e-01 1.735503576321919095e+00
7.000000000000000000e+01 7.000000000000000666e-01 1.707541507826502158e+00
7.100000000000000000e+01 7.099999999999999645e-01 2.004862511951655435e+00
7.200000000000000000e+01 7.199999999999999734e-01 1.532047518463597546e+00
7.300000000000000000e+01 7.299999999999999822e-01 1.754557615806568549e+00
7.400000000000000000e+01 7.399999999999999911e-01 1.641693956581147695e+00
7.500000000000000000e+01 7.500000000000000000e-01 1.647278758947233301e+00
7.600000000000000000e+01 7.600000000000000089e-01 1.655958491911276198e+00
7.700000000000000000e+01 7.700000000000000178e-01 1.823803970637109639e+00
7.800000000000000000e+01 7.800000000000000266e-01 1.666447693718742018e+00
7.900000000000000000e+01 7.900000000000000355e-01 1.907911328956023889e+00
8.000000000000000000e+01 8.000000000000000444e-01 1.879553097079070367e+00
8.100000000000000000e+01 8.100000000000000533e-01 1.840749893594011199e+00
8.200000000000000000e+01 8.200000000000000622e-01 1.809201683011802508e+00
8.300000000000000000e+01 8.300000000000000711e-01 1.940197154002570423e+00
8.400000000000000000e+01 8.399999999999999689e-01 1.686044931243923850e+00
8.500000000000000000e+01 8.499999999999999778e-01 1.898533349946623261e+00
8.600000000000000000e+01 8.599999999999999867e-01 1.710994536001235078e+00
8.700000000000000000e+01 8.699999999999999956e-01 1.872309399366797411e+00
8.800000000000000000e+01 8.800000000000000044e-01 1.827795022773966993e+00
8.900000000000000000e+01 8.900000000000000133e-01 1.751195634819708635e+00
9.000000000000000000e+01 9.000000000000000222e-01 1.920847318525203740e+00
